"SRR1071717"	"SRR1099957"	"SRR1093930"	"SRR1084917"	"SRR1081765"	"SRR1079830"	"SRR1086236"	"SRR1097296"	"SRR1120296"	"SRR1092208"	"SRR1085402"
"ENSG00000004660.14"	1911	1224	961	531	891	1571	1480	493	646	3535	570
"ENSG00000004700.15"	1140	1424	1017	1049	1207	1693	1316	1349	752	1308	786
"ENSG00000004766.15"	705	676	723	682	575	911	648	698	637	806	682
"ENSG00000004776.11"	27405	7734	7339	1992	11379	22069	27059	26291	8000	18655	5567
"ENSG00000004777.18"	1291	783	700	507	510	947	1269	598	988	880	944
"ENSG00000004779.9"	1027	865	738	621	816	1197	811	1116	668	1382	649
"ENSG00000004799.7"	15796	40273	17126	13017	18249	38196	18792	21381	2635	3734	7780
"ENSG00000004809.13"	2	1	9	5	8	1	1	7	0	1	2
"ENSG00000004838.13"	26	29	18	14	17	24	28	12	31	27	28
"ENSG00000004846.16"	9	9	38	2	13	12	77	14	6	6	31
"ENSG00000004848.7"	1	4	3	2	2	2	2	1	3	2	1
"ENSG00000004864.13"	364	673	642	715	468	558	474	435	505	409	649
"ENSG00000004866.19"	737	693	578	452	600	909	855	507	521	827	430
"ENSG00000004897.11"	1330	1628	1154	1040	1401	1750	1472	1341	953	1233	1043
"ENSG00000004939.13"	3	2	7	2	3	2	3	3	5	0	3
"ENSG00000004948.13"	0	1	1	1	4	1	1	2	2	1	0
"ENSG00000004961.14"	374	481	370	356	332	510	452	456	354	664	403
"ENSG00000004975.11"	1400	1728	1580	1134	1224	1924	1857	1256	1345	1889	1047
"ENSG00000005001.9"	46	628	657	1154	288	173	64	24	788	28	1029
"ENSG00000005007.12"	3347	3941	4144	3352	4115	4811	3823	4643	3954	3956	2920
"ENSG00000005020.12"	980	2403	1930	1501	1554	1620	1296	1454	1515	1140	1692
"ENSG00000005022.5"	4518	6093	3570	4259	3936	5839	5291	5104	3092	6232	4929
"ENSG00000005059.15"	145	268	315	225	202	275	209	225	184	83	256
"ENSG00000005073.5"	662	1308	1123	688	827	874	756	422	909	962	678
"ENSG00000005075.15"	644	851	1039	628	730	807	623	624	658	825	690
"ENSG00000005100.12"	670	998	809	648	681	878	706	952	679	725	671
"ENSG00000005102.12"	349	128	176	94	202	215	309	200	159	109	327
"ENSG00000005108.15"	663	882	364	336	449	519	444	415	210	368	337
"ENSG00000005156.11"	1697	1759	1459	1186	1327	1633	1464	1489	1245	2146	850
"ENSG00000005175.9"	573	709	666	619	961	925	728	925	608	646	554
"ENSG00000005187.11"	426	720	689	657	491	283	697	604	522	119	703
"ENSG00000005189.19"	139	200	268	267	134	183	191	150	229	127	243
"ENSG00000005194.14"	527	866	753	688	683	797	607	779	632	898	728
"ENSG00000005206.16"	2142	2728	2985	2757	2008	2586	2055	1629	2453	2114	2260
"ENSG00000005238.19"	810	854	880	569	743	1051	671	529	613	900	824
"ENSG00000005243.9"	563	427	441	180	499	758	895	460	246	1624	346
"ENSG00000005249.12"	921	3571	2042	1964	1853	1806	1605	631	1181	930	1435
"ENSG00000005302.17"	605	1273	1243	995	786	926	929	762	939	866	929
"ENSG00000005339.14"	4509	6289	4418	3262	3698	4588	6280	4234	3313	3825	2476
"ENSG00000005379.15"	2747	1962	1808	1300	1362	2805	2062	1839	1587	2130	1024
"ENSG00000005381.7"	5	5	7	8	11	10	7	10	13	6	20
"ENSG00000005421.8"	1	15	4	15	4	3	2	2	5	2	11
"ENSG00000005436.13"	459	532	577	450	525	605	508	469	446	400	436
"ENSG00000005448.16"	158	409	443	289	303	397	176	212	411	223	408
"ENSG00000005469.11"	470	3700	2955	3339	1375	921	504	375	2599	610	2702
"ENSG00000005471.15"	50	60	52	56	41	64	23	17	42	49	36
"ENSG00000005483.20"	3958	4605	3788	3517	3526	3604	3808	2699	3191	2803	2412
"ENSG00000005486.16"	1283	2096	2410	1251	1747	1772	1381	1047	1643	1615	1567
"ENSG00000005513.9"	148	76	39	57	108	73	138	85	43	114	64
"ENSG00000005700.14"	1438	1703	1405	1182	1525	1572	1437	1540	1158	1595	1027
"ENSG00000005801.16"	295	870	1171	828	535	496	308	411	721	332	789
"ENSG00000005810.17"	2971	4295	3134	2449	3422	3754	3793	3388	2500	3192	1867
