"SRR1071359"	"SRR1083776"	"SRR811938"	"SRR1082520"	"SRR1074140"	"SRR1076584"	"SRR1101693"
"ENSG00000007520.3"	1923	1217	1506	795	815	1199	811
"ENSG00000007541.16"	3715	2135	2445	1702	1964	2834	1119
"ENSG00000007545.15"	2322	1712	3203	1963	2489	2096	1122
"ENSG00000007866.18"	2208	5926	8129	4010	6260	2525	2603
"ENSG00000007908.15"	44	2763	374	10129	654	464	5016
"ENSG00000007923.15"	1779	1758	2480	1555	1634	1647	1277
"ENSG00000007933.12"	547	233	374	512	187	627	148
"ENSG00000007944.14"	2116	1762	5884	2883	2070	1172	638
"ENSG00000007952.17"	18	15	16	12	14	21	11
"ENSG00000007968.6"	15	5	8	14	9	9	30
"ENSG00000008018.8"	2863	3873	5428	2783	3053	2835	2756
"ENSG00000008056.12"	92	55	74	87	48	66	117
"ENSG00000008083.13"	460	876	823	705	613	488	537
"ENSG00000008086.11"	353	455	1087	472	425	343	313
"ENSG00000008118.9"	2	13	120	108	32	3	17
"ENSG00000008128.22"	2315	1463	3722	2091	2975	1607	1428
"ENSG00000008130.15"	1590	2548	4976	2959	3843	2163	2402
"ENSG00000008196.12"	0	1	0	4	4	0	2
"ENSG00000008197.4"	0	0	0	2	0	2	3
"ENSG00000008226.19"	32817	2402	579	863	1365	12259	999
"ENSG00000008256.15"	1032	1623	3331	2279	1778	1029	1289
"ENSG00000008277.14"	279	607	1174	846	183	313	304
"ENSG00000008282.8"	2746	5782	6605	3452	3560	2545	2556
"ENSG00000008283.15"	5969	1068	600	781	486	3235	1404
"ENSG00000008294.20"	2185	4221	6423	3923	4314	2503	2854
"ENSG00000008300.15"	124	88	173	131	166	141	71
"ENSG00000008311.14"	633	1891	6902	2816	4211	1247	1260
"ENSG00000008323.15"	79	37	61	65	61	58	61
"ENSG00000008324.10"	193	286	482	283	215	220	288
"ENSG00000008382.15"	577	558	505	355	326	433	338
"ENSG00000008394.12"	511	750	1661	1726	768	833	4318
"ENSG00000008405.11"	1364	1060	1520	705	1192	1017	673
"ENSG00000008438.4"	3	1	19	26	5	5	26
"ENSG00000008441.16"	4040	8222	12689	6681	5334	3571	4168
"ENSG00000008513.14"	554	3002	5486	3519	2761	1669	3500
"ENSG00000008516.16"	280	157	727	2522	113	245	1880
"ENSG00000008517.16"	347	435	524	293	333	437	353
"ENSG00000008710.18"	9426	11772	21430	12845	18058	10866	8706
"ENSG00000008735.13"	287	134	303	144	165	192	52
"ENSG00000008838.18"	3748	3060	3475	2473	2944	3069	2070
"ENSG00000008853.16"	753	1084	2140	1692	1168	895	844
"ENSG00000008869.11"	1327	852	2066	1075	1055	991	770
"ENSG00000008952.16"	2207	3350	5657	3956	3094	2430	2750
"ENSG00000008988.9"	12572	14639	31898	16782	13034	11223	11537
"ENSG00000009307.15"	7364	13510	31394	14267	13697	7981	9727
"ENSG00000009335.17"	1518	2627	3807	2534	2279	1846	2392
"ENSG00000009413.15"	2908	3072	4962	2551	2597	1889	2088
"ENSG00000009694.13"	3010	275	336	349	518	418	95
"ENSG00000009709.11"	1	0	2	1	0	3	0
"ENSG00000009724.16"	333	350	409	241	466	267	112
"ENSG00000009765.14"	4	2	9	1	1	6	4
"ENSG00000009780.15"	731	503	1013	683	472	574	309
"ENSG00000009790.14"	410	235	280	316	207	182	122
"ENSG00000009830.11"	1245	975	1186	753	1333	1273	825
"ENSG00000009844.15"	700	682	1074	730	501	611	698
"ENSG00000009950.15"	1890	1651	374	404	648	3750	497
"ENSG00000009954.10"	2614	3069	5332	3058	3431	2603	1969
"ENSG00000010017.12"	1039	999	2503	1444	1190	1015	860
"ENSG00000010030.13"	98	30	16	26	23	70	59
"ENSG00000010072.15"	309	306	443	303	223	241	240
"ENSG00000010165.19"	928	804	1589	775	618	830	780
"ENSG00000010219.13"	417	759	811	475	531	497	382
"ENSG00000010244.17"	6887	5827	6601	4071	5298	6705	4619
"ENSG00000010256.10"	3778	3474	4203	2076	2386	2527	2394
"ENSG00000010270.13"	703	1218	1495	1064	975	980	1068
"ENSG00000010278.12"	3462	5773	7306	4158	4191	2772	3925
"ENSG00000010282.14"	838	32	24	24	32	321	17
"ENSG00000010292.12"	1133	1089	2024	1084	1250	1172	876
"ENSG00000010295.19"	714	2448	4060	2165	2736	1224	1615
"ENSG00000010310.8"	3236	291	4	43	192	1804	62
"ENSG00000010318.20"	363	175	342	182	229	146	65
"ENSG00000010319.6"	173	771	964	870	438	227	455
"ENSG00000010322.15"	9739	7309	11643	7822	10621	8329	4175
"ENSG00000010327.10"	2520	5548	12126	7459	8445	6277	22369
"ENSG00000010361.13"	3695	743	1288	850	807	1490	457
"ENSG00000010379.15"	906	42	8	35	10	298	13
"ENSG00000010404.17"	9265	5961	10166	6981	7088	6225	3008
"ENSG00000010438.16"	21	14	17	12	12	18	22
"ENSG00000010539.11"	247	280	409	332	273	229	165
"ENSG00000010610.9"	1705	450	963	524	328	930	1213
"ENSG00000010626.14"	5201	388	394	314	359	2269	252
"ENSG00000010671.15"	74	88	219	144	73	82	233
"ENSG00000010704.18"	239	359	482	403	279	253	300
"ENSG00000010803.16"	1715	2793	4115	2280	3453	1664	1607
"ENSG00000010810.17"	2489	1879	2891	3638	2409	2939	1932
"ENSG00000010818.8"	2506	1168	1787	1204	1615	1226	1113
"ENSG00000010932.15"	124	699	115	189	105	203	400
"ENSG00000011007.12"	1529	1630	2617	1419	1653	1544	1347
"ENSG00000011009.10"	2331	864	1119	855	952	1615	927
"ENSG00000011021.21"	1947	1222	3163	1611	1853	1496	1084
"ENSG00000011028.13"	4066	6357	7582	6335	5358	4362	7410
"ENSG00000011052.21"	4021	6772	8979	4282	3611	5396	6722
"ENSG00000011083.8"	4	29	25	7	9	8	10
"ENSG00000011105.11"	1165	3143	4149	2490	3153	1447	1465
"ENSG00000011114.14"	1327	1551	2290	1299	1534	1190	1012
"ENSG00000011132.11"	673	467	772	591	681	623	418
"ENSG00000011143.16"	2105	471	801	436	541	1033	280
"ENSG00000011198.7"	109	141	240	316	160	163	323
"ENSG00000011201.11"	73	42	154	98	143	55	137
"ENSG00000011243.17"	6782	3226	4390	2705	4426	3862	1642
"ENSG00000011258.15"	1012	597	1611	1102	1048	812	405
"ENSG00000011260.13"	853	680	1041	720	733	773	741
"ENSG00000011275.18"	1542	2463	4525	2433	3181	1582	1922
"ENSG00000011295.15"	1600	1291	2408	1350	1402	1516	991
"ENSG00000011304.18"	9382	7632	8923	6614	7305	8050	6062
"ENSG00000011332.19"	11	12	26	18	12	18	6
"ENSG00000011347.9"	123	971	415	326	427	258	433
"ENSG00000011376.9"	793	559	637	354	327	628	459
"ENSG00000011405.13"	2668	2909	4721	3102	2946	2144	2145
"ENSG00000011422.11"	229	347	751	1286	527	394	1927
"ENSG00000011426.10"	12	36	63	36	26	26	151
"ENSG00000011451.17"	1794	3337	3800	2259	2673	2289	2390
"ENSG00000011454.16"	2286	3106	5822	2463	2621	2016	1688
"ENSG00000011465.16"	18287	39564	159881	89672	51179	28276	88437
"ENSG00000011478.11"	323	330	432	283	203	267	293
"ENSG00000011485.14"	3338	2456	3032	1762	1831	2828	1555
"ENSG00000011523.13"	1230	1592	3686	2257	1923	1331	893
"ENSG00000011566.14"	1382	1474	2691	1470	1372	1062	800
"ENSG00000011590.13"	63	13	13	30	21	16	15
"ENSG00000011600.11"	309	304	982	802	286	252	1725
"ENSG00000011638.10"	586	469	3086	1077	955	454	374
"ENSG00000011677.12"	0	0	1	0	0	0	0
"ENSG00000012048.20"	347	121	196	172	255	224	148
"ENSG00000012061.15"	2919	2759	2925	2154	2145	2384	2004
"ENSG00000012124.15"	3306	238	79	1527	109	3636	72
"ENSG00000012171.18"	2288	4765	4495	3606	5436	3350	3173
"ENSG00000012174.11"	354	670	982	665	475	458	599
"ENSG00000012211.12"	368	403	496	396	398	381	306
"ENSG00000012223.12"	66	276	91	44	48	196	1392
"ENSG00000012232.8"	897	1789	3768	1904	1843	1384	1669
"ENSG00000012504.13"	2	2	3	109	2	4	1
"ENSG00000012660.13"	1804	2599	2551	1712	1632	2847	6365
"ENSG00000012779.10"	389	520	1168	1903	596	427	1996
"ENSG00000012817.15"	18	10	26	7	11	6	3
"ENSG00000012822.15"	7198	3504	15882	7179	9704	5296	2993
"ENSG00000012963.14"	793	999	2235	1108	1125	834	651
"ENSG00000012983.11"	2179	2378	4616	2301	2332	1767	1595
"ENSG00000013016.15"	367	240	575	256	116	398	465
"ENSG00000013275.7"	1378	2414	2431	1492	1641	1548	1774
"ENSG00000013288.8"	1833	2011	5950	2921	2428	1936	1941
"ENSG00000013293.5"	2	3	20	12	13	5	8
"ENSG00000013297.10"	78	272	1758	1287	928	564	2362
"ENSG00000013306.15"	2125	2444	1944	1717	1979	2532	1919
"ENSG00000013364.18"	4523	5145	7766	4692	4237	6414	6347
"ENSG00000013374.15"	2710	1809	3855	2179	2416	1968	1152
"ENSG00000013375.15"	1504	1469	1728	1306	1433	1614	1545
"ENSG00000013392.7"	295	279	616	277	333	265	168
"ENSG00000013441.15"	8241	4152	7980	7891	9391	7787	1638
"ENSG00000013503.9"	382	456	408	189	190	454	356
"ENSG00000013523.9"	1316	1011	1607	1069	1158	1275	753
"ENSG00000013561.17"	850	1271	2413	1205	1087	1045	839
"ENSG00000013563.13"	871	939	1834	851	772	644	748
"ENSG00000013573.16"	729	886	1175	279	1115	713	939
"ENSG00000013583.8"	590	959	2979	1355	1184	762	1056
"ENSG00000013588.6"	222	242	707	1838	1660	600	2834
"ENSG00000013619.13"	674	935	1528	1798	833	833	623
"ENSG00000013725.14"	308	115	92	140	112	188	59
"ENSG00000013810.18"	218	218	366	443	286	281	515
"ENSG00000014123.9"	1122	1481	2112	1158	1166	1009	920
"ENSG00000014138.8"	506	512	993	487	544	454	383
"ENSG00000014164.6"	936	855	1484	845	976	732	1188
"ENSG00000014216.15"	7543	5012	5865	3819	3798	5101	4054
"ENSG00000014257.15"	80	47	37	43	690	35	57
"ENSG00000014641.17"	3000	3937	3508	1836	1784	2493	2532
"ENSG00000014824.13"	1472	1815	2772	1794	1452	1264	1145
"ENSG00000014914.19"	788	1611	1872	1411	1646	1082	892
"ENSG00000014919.12"	1584	960	1844	851	743	1031	757
"ENSG00000015133.18"	8043	1001	658	722	577	2793	472
"ENSG00000015153.14"	323	701	949	644	548	619	450
"ENSG00000015171.18"	2067	4179	6247	3545	3711	2370	2306
"ENSG00000015285.10"	201	220	433	576	180	186	774
"ENSG00000015413.9"	7	44	96	67	72	10	18
"ENSG00000015475.18"	363	308	461	370	347	359	389
"ENSG00000015479.17"	7547	8832	12242	7936	7514	7106	5341
"ENSG00000015520.14"	21	28	164	88	105	12	17
"ENSG00000015532.9"	1549	1156	1915	1116	1008	1433	758
"ENSG00000015568.12"	921	924	1330	1018	1325	804	698
"ENSG00000015592.16"	6	11	49	9	17	6	0
"ENSG00000015676.17"	3490	3319	6468	3363	3194	2636	2241
"ENSG00000016082.14"	1	1	1	1	1	0	2
"ENSG00000016391.10"	685	630	138	541	613	955	182
"ENSG00000016402.13"	1752	298	439	251	549	549	140
"ENSG00000016490.15"	10	2	3	4	3	106	4
"ENSG00000016602.9"	27	15	10	10	42	102	18
"ENSG00000016864.17"	2598	1646	2585	1435	1471	1987	1161
"ENSG00000017260.19"	2759	2076	3176	2157	2201	2267	1830
"ENSG00000017427.15"	560	1710	2211	1734	1400	1770	2388
"ENSG00000017483.14"	180	192	118	154	124	428	587
"ENSG00000017797.11"	1310	1192	3611	1786	1645	1440	1331
"ENSG00000018189.12"	1523	1555	3215	1846	1999	1747	1142
"ENSG00000018236.14"	44	153	1183	663	93	61	214
"ENSG00000018280.16"	324	471	2465	5358	1360	627	6566
"ENSG00000018408.14"	1509	3497	6673	3842	3304	1884	3047
"ENSG00000018510.13"	750	907	1635	1039	674	884	978
"ENSG00000018607.6"	1	0	0	0	1	2	0
"ENSG00000018610.13"	446	563	1126	568	521	374	328
"ENSG00000018625.14"	358	1793	8852	3004	905	746	760
"ENSG00000018699.11"	600	612	616	514	407	511	461
"ENSG00000018869.16"	107	145	207	171	160	130	73
"ENSG00000019102.11"	838	104	84	81	137	315	119
"ENSG00000019144.17"	4574	13468	13890	10165	11081	6980	8094
"ENSG00000019169.10"	4	26	25	29	81	160	8856
"ENSG00000019186.9"	0	12	0	0	152	1	4
"ENSG00000019485.12"	933	1576	3043	1570	1901	1257	585
"ENSG00000019505.7"	12	0	5	1	0	18	0
"ENSG00000019549.8"	133	2298	5400	1639	1202	941	2316
"ENSG00000019582.14"	22184	20811	30613	14814	12428	27594	8207
"ENSG00000019991.15"	95	604	446	449	282	451	487
"ENSG00000019995.6"	1445	1965	4751	2512	2860	1484	1198
"ENSG00000020129.15"	2199	1273	1513	1132	954	1608	1195
"ENSG00000020181.17"	4061	10475	8987	7985	6542	5935	4331
"ENSG00000020219.9"	11	0	0	0	3	3	0
"ENSG00000020256.19"	387	374	686	374	373	398	226
"ENSG00000020426.10"	585	404	671	395	302	441	318
"ENSG00000020577.13"	444	1958	4372	1563	4774	625	1399
"ENSG00000020633.18"	154	198	235	207	261	72	119
"ENSG00000020922.12"	1479	704	1908	1037	816	1525	715
"ENSG00000021300.13"	1155	151	151	295	99	523	209
"ENSG00000021355.12"	2687	1391	2122	2670	1230	1860	2178
"ENSG00000021461.16"	9	3	4	11	7	5	4
"ENSG00000021488.12"	61	13	25	33	58	41	12
"ENSG00000021574.11"	448	393	905	537	513	423	359
"ENSG00000021645.18"	145	1307	2396	190	519	183	564
"ENSG00000021762.19"	1820	2327	3559	2081	2285	2131	1802
"ENSG00000021776.10"	1708	1717	2103	1452	1253	1414	1251
"ENSG00000021826.14"	37	166	196	130	93	151	62
"ENSG00000021852.12"	2	5	1	5	1	4	1
"ENSG00000022267.16"	3580	20055	51215	17126	30781	4501	9822
"ENSG00000022277.12"	2238	2887	4661	2423	2175	1892	2027
"ENSG00000022355.16"	1	1	6	0	0	1	0
"ENSG00000022556.15"	73	192	18	31	111	467	134
"ENSG00000022567.9"	1987	727	1990	870	1396	1076	707
"ENSG00000022840.15"	2816	4931	7518	4714	4489	3287	3575
"ENSG00000022976.15"	1318	617	1019	641	545	740	377
"ENSG00000023041.11"	1597	1058	2028	1251	1265	1229	806
"ENSG00000023171.15"	813	207	245	354	148	538	130
"ENSG00000023191.16"	5054	7533	9819	5824	5676	5060	6937
"ENSG00000023228.13"	1969	2702	3529	1862	1708	1579	1755
"ENSG00000023287.12"	1528	1114	3904	1965	1771	1374	998
