"SRR1088832"	"SRR1096057"	"SRR1075223"	"SRR1077239"	"SRR1097035"	"SRR1097574"	"SRR1343393"	"SRR1089562"	"SRR1096876"	"SRR1089833"	"SRR1098612"
"ENSG00000092421.16"	1893	1578	698	975	824	663	1849	2133	1540	1034	771
"ENSG00000092439.13"	2137	1937	1154	1537	2327	976	1601	1952	1664	2200	1592
"ENSG00000092445.11"	292	350	497	130	486	626	332	402	265	457	125
"ENSG00000092470.11"	241	214	120	121	210	436	102	180	153	184	151
"ENSG00000092529.23"	959	1142	694	1479	1696	743	980	1093	1118	1375	864
"ENSG00000092531.9"	2603	2003	1109	2147	1792	1028	1609	1875	1489	1755	1727
"ENSG00000092607.13"	38	26	11	35	20	2	4	14	16	33	8
"ENSG00000092621.11"	2286	1287	2552	896	1975	3138	1093	1184	1957	1422	1070
"ENSG00000092758.15"	451	267	88	267	291	88	833	363	138	152	138
"ENSG00000092820.17"	2451	2160	7814	3707	1261	18236	940	1745	1421	1154	5248
"ENSG00000092841.18"	36977	41685	14849	15286	31690	14344	31844	31918	36473	20507	12290
"ENSG00000092847.11"	2323	1534	863	1477	1632	1202	1632	1746	1255	1691	1531
"ENSG00000092850.11"	34	31	11	345	34	13	15	45	26	15	874
"ENSG00000092853.13"	6	9	10	7	3	209	15	7	13	5	8
"ENSG00000092871.16"	1488	1311	1616	991	1154	2324	976	1235	1167	1050	1175
"ENSG00000092929.11"	935	979	1623	991	2890	1983	1185	677	1044	2345	668
"ENSG00000092931.11"	3042	3322	2683	2874	3147	3363	2933	2723	3024	2874	2203
"ENSG00000092964.17"	4941	3514	1300	2561	2842	745	2516	3720	2933	2923	2135
"ENSG00000092969.11"	1505	606	249	970	1062	82	1233	1397	887	1280	577
"ENSG00000092978.10"	493	541	288	326	236	328	504	428	468	266	375
"ENSG00000093000.18"	1132	1480	1331	1134	818	2115	1002	1064	1055	840	1115
"ENSG00000093009.9"	6	10	38	9	9	374	10	5	5	9	12
"ENSG00000093010.12"	3403	2469	2992	2661	3916	2514	2265	2392	2335	3572	1984
"ENSG00000093072.15"	400	946	324	1066	317	270	1136	602	780	347	740
"ENSG00000093100.13"	3343	2719	897	1659	3246	684	3763	2941	2834	2448	1358
"ENSG00000093134.14"	6	1	14	13	21	7	3	10	2	15	20
"ENSG00000093144.18"	1143	1230	876	1087	878	837	988	997	1128	887	1136
"ENSG00000093167.17"	3096	2525	2653	2411	3536	4246	3787	2215	1891	3424	2123
"ENSG00000093183.13"	2784	2141	879	1813	2286	670	1669	2017	1739	2148	1687
"ENSG00000093217.9"	89	163	114	75	122	146	145	96	185	116	169
"ENSG00000094631.18"	4008	3315	1840	3490	6000	1695	2954	3876	3764	5257	2917
"ENSG00000094661.2"	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000094755.16"	10	6	441	82	5	1086	2	11	7	27	476
"ENSG00000094796.4"	0	1	58	1	1	75	5	0	2	2	1
"ENSG00000094804.9"	22	208	45	18	21	487	81	42	208	16	26
"ENSG00000094841.13"	290	343	166	217	176	143	257	253	279	184	228
"ENSG00000094880.10"	1052	1002	721	785	732	755	871	850	860	696	672
"ENSG00000094914.12"	1730	1812	1077	1959	2670	1185	2033	1873	1982	2103	1468
"ENSG00000094916.14"	3294	2712	1431	2219	2186	2207	2533	2338	2571	2082	2564
"ENSG00000094963.13"	635	1329	413	431	1418	358	405	571	562	800	184
"ENSG00000094975.13"	1577	1639	634	940	1215	1426	1441	1580	1422	1374	1167
"ENSG00000095002.13"	582	713	301	479	287	753	471	547	623	319	469
"ENSG00000095015.5"	971	616	2077	1077	297	1981	582	782	523	283	964
"ENSG00000095059.15"	2287	2101	1260	2138	3939	1112	1388	1923	2147	3413	1807
"ENSG00000095066.11"	2010	2229	3983	3390	2926	10879	1053	1746	1554	2044	2956
"ENSG00000095110.7"	5	7	0	4	10	3	3	3	1	5	2
"ENSG00000095139.13"	5561	6569	2073	3090	4075	3268	5083	4350	5951	4004	3557
"ENSG00000095203.14"	41	27	456	146	28	306	14	21	15	31	294
"ENSG00000095209.11"	687	595	146	458	812	95	332	514	493	815	419
"ENSG00000095261.13"	1578	1634	745	926	1050	931	987	1153	1328	1073	911
"ENSG00000095303.14"	667	191	1297	195	134	1636	219	530	182	102	413
"ENSG00000095319.14"	2637	2815	1577	1425	2660	2698	1603	2391	2842	2447	1659
"ENSG00000095321.16"	2430	1777	1227	1864	2379	4108	1903	1970	1728	2244	1611
"ENSG00000095370.19"	1418	1625	337	672	286	261	1049	1474	1597	268	541
"ENSG00000095380.10"	787	1379	588	936	948	1009	892	891	1490	739	932
"ENSG00000095383.19"	428	348	991	802	374	2289	334	487	322	316	702
"ENSG00000095397.13"	1017	1488	271	2067	2328	604	2951	2190	1916	1711	1183
"ENSG00000095464.9"	66	45	34	43	53	16	32	58	50	59	54
"ENSG00000095485.16"	820	835	343	645	969	428	682	777	774	877	550
"ENSG00000095539.15"	449	346	182	513	442	154	390	408	388	500	421
"ENSG00000095564.13"	4390	3518	2181	3281	3910	3533	2458	3075	3198	3616	2993
"ENSG00000095574.11"	1139	953	710	1082	1102	560	856	904	699	960	887
"ENSG00000095585.16"	38	17	925	142	15	1093	94	34	17	27	114
"ENSG00000095587.8"	23	28	4	24	28	3	103	29	17	13	17
"ENSG00000095596.11"	6	8	0	15	8	10	5	6	5	4	8
"ENSG00000095627.9"	3	7	0	8	1	2	0	2	4	4	21
"ENSG00000095637.21"	12793	15062	1015	3550	7242	1532	5458	8700	8573	3825	2641
"ENSG00000095713.13"	409	600	175	164	451	105	267	864	500	427	209
"ENSG00000095739.10"	120	280	103	216	244	31	338	341	234	164	77
"ENSG00000095752.6"	2	7	11	12	2	30	8	0	3	1	13
"ENSG00000095777.14"	24	14	6	6	28	62	2	3	8	23	7
"ENSG00000095787.21"	7228	6096	3061	4912	7595	4069	4451	5219	4796	7101	4682
"ENSG00000095794.19"	1131	2397	240	624	780	180	894	747	1737	743	699
"ENSG00000095906.16"	1541	1654	1056	1247	1580	1131	1365	1389	1702	1348	1142
"ENSG00000095917.13"	245	56	399	83	203	57	100	259	61	137	109
"ENSG00000095932.6"	5	0	6	12	3	0	0	0	4	5	10
"ENSG00000095951.16"	1035	1031	738	734	480	966	816	1059	818	575	803
"ENSG00000095970.16"	4	33	9	272	6	6	64	4	5	3	92
"ENSG00000095981.10"	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000096006.11"	8	1	13788	81	11	4464	3	8	1	8	141
"ENSG00000096060.14"	16485	14735	10107	8115	5234	3550	1189	9742	8628	5041	5871
"ENSG00000096063.15"	1061	1377	1403	877	1067	2553	690	913	1251	904	887
"ENSG00000096070.19"	2225	1920	762	1247	1549	871	1725	1758	1857	1622	1322
"ENSG00000096080.11"	709	750	507	520	533	1000	643	686	619	502	442
"ENSG00000096088.16"	270	178	175	226	277	264	177	214	154	1593	147
"ENSG00000096092.5"	711	541	348	406	502	390	478	508	470	562	333
"ENSG00000096093.15"	1331	1052	685	2354	1822	647	1168	1288	999	1712	2626
"ENSG00000096264.13"	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000096384.19"	26676	46099	16727	25438	45247	21129	29058	25503	46968	46266	20624
"ENSG00000096395.10"	5	0	0	2	1	0	2	3	0	1	3
"ENSG00000096401.7"	1915	1799	931	1122	1275	1097	1384	1690	1471	1193	1080
"ENSG00000096433.10"	4207	2776	3805	5201	3291	6697	2375	2973	3419	3283	4282
"ENSG00000096654.15"	256	281	160	225	168	177	256	229	229	200	217
"ENSG00000096696.13"	595	335	81271	1667	346	123860	322	749	341	382	3091
"ENSG00000096717.11"	1689	1309	557	1013	1266	327	1048	1116	960	1242	1040
"ENSG00000096746.17"	7717	7297	2912	5915	7910	2747	5750	7069	6476	8353	4566
"ENSG00000096872.15"	418	482	354	418	481	308	563	388	353	397	507
"ENSG00000096968.13"	2032	1014	705	838	1307	1137	1230	1571	635	1212	925
"ENSG00000096996.15"	35	41	16	29	7	29	50	21	29	4	31
"ENSG00000097007.17"	14227	12724	2498	5338	8217	1470	9658	11030	11863	7612	5491
"ENSG00000097021.19"	797	580	691	338	549	1014	370	382	379	475	473
"ENSG00000097033.14"	4304	3742	2486	2322	2082	3577	2986	3133	3044	2406	2415
"ENSG00000097046.12"	168	253	96	64	139	379	63	120	218	151	79
"ENSG00000097096.8"	170	149	42	82	163	55	109	145	107	158	83
"ENSG00000099139.13"	1320	781	752	728	864	1120	749	916	1161	1032	565
"ENSG00000099194.5"	920	848	4584	749	524	28996	793	1364	779	365	626
"ENSG00000099203.6"	913	755	519	725	1111	360	986	1027	920	1044	921
"ENSG00000099204.18"	3610	3093	11498	8777	4249	18225	1845	5604	1997	4225	7294
"ENSG00000099219.13"	644	747	938	1911	740	1257	658	744	575	718	1571
"ENSG00000099246.16"	2603	2566	1981	1628	1747	2488	1954	2269	2239	1728	1687
"ENSG00000099250.17"	3547	4748	748	2815	1921	739	3439	3504	4070	1654	1966
"ENSG00000099251.14"	242	161	252	282	255	249	151	202	149	218	239
"ENSG00000099256.18"	623	250	130	479	463	65	444	427	284	435	535
"ENSG00000099260.10"	720	851	724	1261	702	659	939	796	551	621	675
"ENSG00000099282.9"	650	710	118	464	429	192	859	510	795	165	545
"ENSG00000099284.13"	713	800	544	554	479	625	858	869	808	403	553
"ENSG00000099290.15"	2663	2680	1398	2666	2364	1271	1966	2954	2073	2243	2206
"ENSG00000099308.10"	1644	1888	251	1412	1411	369	1421	1363	1396	1054	1158
"ENSG00000099326.8"	1995	2186	1089	2516	2040	1329	1991	1721	2269	1783	2431
"ENSG00000099330.8"	555	472	270	622	670	336	635	515	420	572	590
"ENSG00000099331.13"	6413	5103	2161	4064	6381	3904	5062	5810	5476	5475	3240
"ENSG00000099337.4"	3459	7052	1635	894	2540	4385	3485	4312	5656	1704	1014
"ENSG00000099338.22"	116	111	59	173	124	58	103	129	106	157	137
"ENSG00000099341.11"	3767	3818	2409	1919	2717	3004	2679	2875	3730	2361	2121
"ENSG00000099364.16"	921	1066	571	948	564	999	847	993	1096	540	701
"ENSG00000099365.9"	150	141	127	110	189	265	182	151	174	145	102
"ENSG00000099377.13"	623	581	356	424	282	360	522	549	507	263	378
"ENSG00000099381.16"	2521	2051	984	1525	1472	852	1675	2100	1995	1413	1548
"ENSG00000099385.11"	1717	1402	850	1177	2039	702	1357	1627	1475	1681	1112
"ENSG00000099399.5"	0	1	0	1	0	0	1	2	1	0	1
"ENSG00000099617.3"	2	0	8	0	0	5	5	0	0	1	0
"ENSG00000099622.13"	20081	10472	7809	20984	25903	4654	16197	13986	10171	23202	18581
"ENSG00000099624.7"	1716	1816	1614	1728	2521	2045	1667	1585	2046	1918	1378
"ENSG00000099625.12"	68	75	78	41	69	377	93	89	101	59	59
"ENSG00000099715.14"	52	28	0	10	16	1	26	33	17	9	22
"ENSG00000099721.13"	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000099725.14"	4	6	11	6	3	9	2	4	3	6	15
"ENSG00000099769.5"	30	4	12	28	21	7	15	15	4	25	68
"ENSG00000099783.11"	8908	9921	5314	5451	6734	6256	7498	7805	9132	6774	5037
"ENSG00000099785.10"	1069	888	529	618	872	624	752	859	736	745	419
"ENSG00000099795.6"	1621	1599	1086	1064	1295	896	1281	1511	1637	982	1061
"ENSG00000099797.12"	1842	1365	3546	1826	2136	8769	1446	1384	1482	1689	1732
"ENSG00000099800.7"	814	1095	1027	782	728	886	820	736	1191	623	640
"ENSG00000099804.8"	1001	1524	553	1243	1342	1139	1134	1211	1520	1195	738
"ENSG00000099810.18"	1212	1204	897	811	1266	1380	831	848	1146	1171	953
"ENSG00000099812.8"	10	11	7	395	13	36	10	9	13	12	446
"ENSG00000099814.15"	2305	2632	2101	2262	1404	3670	1661	1995	2419	1236	2178
"ENSG00000099817.11"	3815	3547	2166	2922	3389	2466	2914	3435	3468	2961	2595
"ENSG00000099821.13"	1900	1935	971	1830	1891	1083	1376	1493	2086	1568	1684
"ENSG00000099822.2"	9	9	9	12	2	68	3	5	8	2	18
"ENSG00000099834.18"	30	17	10	17	29	23	17	30	17	20	18
"ENSG00000099840.13"	329	206	135	361	442	104	167	143	216	277	294
"ENSG00000099849.14"	224	149	633	1681	82	1759	142	224	109	64	1859
"ENSG00000099860.8"	8322	8831	3276	1271	2059	7129	1161	2117	5210	1317	2351
"ENSG00000099864.17"	4990	3551	1142	3598	4163	511	5024	5776	4642	4515	2587
"ENSG00000099866.14"	16	10	31	40	36	23	30	16	11	16	24
"ENSG00000099869.7"	21	32	4	48	25	2	36	21	40	24	36
"ENSG00000099875.14"	5365	7229	7194	4773	3224	29443	3036	4895	4696	2820	3801
"ENSG00000099889.13"	1293	925	231	1706	864	397	957	915	553	623	1254
"ENSG00000099899.14"	1615	1546	1059	1654	1911	833	1363	1442	1731	1550	1588
"ENSG00000099901.16"	1428	1561	993	1137	1780	1321	1181	1349	1519	1341	933
"ENSG00000099904.15"	2296	2491	1536	2345	2358	1550	2212	1957	2586	2070	1580
"ENSG00000099910.16"	1481	947	358	1003	1375	390	1436	1567	1071	1208	957
"ENSG00000099917.17"	4963	3937	2413	3476	4776	3485	4327	4706	4060	4050	3283
"ENSG00000099937.10"	222	24	1	13	64	4	236	75	3	36	48
"ENSG00000099940.11"	1521	1139	677	900	713	1258	1099	1008	896	772	983
"ENSG00000099942.12"	3018	3239	1366	1965	1710	2516	2390	1830	2416	1866	1848
"ENSG00000099949.18"	3762	3901	1808	3359	3808	1432	3276	3775	3996	3432	2691
"ENSG00000099953.9"	649	114	521	2132	273	369	1711	4494	94	301	1683
"ENSG00000099954.18"	200	175	26	190	426	19	154	410	129	471	154
"ENSG00000099956.18"	2315	1712	1453	1753	1906	1393	1813	2714	1614	1809	1700
"ENSG00000099957.16"	28	21	10	48	40	27	35	20	14	46	31
"ENSG00000099958.14"	210	83	72	240	39	62	243	110	80	28	371
"ENSG00000099960.12"	28	7	25	19	26	56	27	24	7	21	80
"ENSG00000099968.17"	1206	1216	1045	835	1133	1253	864	1027	1004	1073	866
"ENSG00000099974.7"	680	742	604	677	705	621	501	760	649	549	550
"ENSG00000099977.13"	817	758	620	680	745	647	529	851	717	602	583
"ENSG00000099984.11"	234	200	39	96	240	26	174	40	168	204	165
"ENSG00000099985.3"	13	32	2	65	12	8	26	2	20	8	9
"ENSG00000099991.17"	4851	4376	1751	3207	3012	1779	3622	3955	3239	2361	3230
"ENSG00000099992.15"	1391	1220	2478	1197	906	3568	1438	1341	1016	824	803
"ENSG00000099994.10"	2193	3659	367	976	883	278	1397	605	1161	660	1163
"ENSG00000099995.18"	5883	5324	2815	3469	4875	3285	4225	4730	4880	4244	3771
"ENSG00000099998.17"	5122	7534	1642	3826	2232	644	2852	4353	5772	2060	2453
"ENSG00000099999.14"	879	781	469	938	1301	323	895	918	881	954	914
"ENSG00000100003.17"	238	239	347	308	209	1219	174	185	254	187	237
"ENSG00000100012.11"	1	2	0	2	0	1	1	0	1	0	2
"ENSG00000100014.19"	3860	3056	1123	2255	2475	2022	2257	2382	2474	2657	1966
"ENSG00000100023.18"	2419	2037	1908	2462	1939	2050	2093	2341	2043	1766	2072
"ENSG00000100024.14"	48	14	9	15	61	1	24	9	7	59	23
"ENSG00000100027.14"	827	451	377	681	600	265	502	770	404	563	549
"ENSG00000100028.11"	1581	1858	1091	1056	1475	1827	1383	1488	1778	1286	1035
"ENSG00000100029.17"	1772	2374	1294	1311	1409	1041	1467	1826	2497	1251	1200
"ENSG00000100030.14"	4799	4373	2728	2580	2645	3785	3155	3450	3505	2692	2651
"ENSG00000100031.18"	127	64	103	589	276	209	119	103	112	263	722
"ENSG00000100033.16"	540	99	630	793	237	233	19	362	92	169	184
"ENSG00000100034.13"	2917	2489	976	2215	2285	1094	2411	2310	2562	2176	1150
"ENSG00000100036.12"	244	324	157	204	148	224	241	258	286	114	189
"ENSG00000100038.19"	1151	971	701	1413	1571	786	921	1089	910	1549	1063
"ENSG00000100053.9"	3	7	15	21	3	14	7	3	3	2	20
"ENSG00000100055.20"	227	295	156	296	89	133	325	155	246	108	230
"ENSG00000100056.11"	885	843	437	569	713	334	676	762	675	613	509
"ENSG00000100058.12"	715	469	351	667	928	313	436	509	476	781	479
"ENSG00000100060.17"	624	983	235	557	177	138	451	579	848	145	256
"ENSG00000100065.14"	1112	1010	611	1102	313	1118	716	1123	1079	302	561
"ENSG00000100068.11"	669	471	298	1169	713	238	340	666	565	688	1007
"ENSG00000100075.9"	1933	2026	1517	1575	2197	1921	1526	1662	2072	1874	1263
"ENSG00000100077.14"	316	414	201	635	527	166	312	349	390	434	580
"ENSG00000100078.3"	1	2	855	23	0	1829	0	2	4	4	8
"ENSG00000100079.6"	12	7	8	7	8	5	9	15	5	6	10
"ENSG00000100083.18"	2765	2322	1866	3058	3244	3740	2278	2419	2491	2800	2683
"ENSG00000100084.14"	1537	1494	620	778	1002	598	920	1033	1347	805	803
"ENSG00000100092.20"	742	768	1474	618	577	3841	655	651	925	526	618
"ENSG00000100095.18"	9	14	4	26	10	4	24	13	22	19	29
"ENSG00000100097.11"	19458	13486	4462	10078	17592	3388	26007	23453	14214	15400	7660
"ENSG00000100099.20"	1724	1142	1903	2377	2094	2550	1478	2031	1064	1756	2009
"ENSG00000100100.12"	1751	670	1751	2048	1024	991	1148	1629	464	745	1366
"ENSG00000100101.15"	403	534	549	366	328	1472	370	378	558	227	396
"ENSG00000100104.13"	950	964	621	645	641	594	749	843	749	562	583
"ENSG00000100105.17"	1476	1142	492	1635	947	409	1151	1346	989	815	1490
"ENSG00000100106.19"	8514	6484	5060	5852	4844	6573	7203	6001	6711	4752	4581
"ENSG00000100109.16"	1230	1246	843	935	729	790	940	1071	954	629	805
"ENSG00000100116.16"	165	162	213	212	141	482	156	193	140	63	166
"ENSG00000100121.12"	7	5	6	30	17	17	3	3	8	12	55
"ENSG00000100122.5"	17	25	3	11	1	2	8	15	9	3	2
"ENSG00000100124.13"	999	873	496	718	828	647	909	708	932	817	899
"ENSG00000100129.17"	16448	11605	7047	10528	21147	6870	9824	12589	10329	18338	10717
"ENSG00000100138.13"	3148	3304	1674	2011	3135	1631	2649	2541	3334	2877	2104
"ENSG00000100139.13"	1943	1867	2560	898	587	3172	2235	1827	2254	486	937
"ENSG00000100142.14"	1078	1155	486	716	1198	525	1048	922	1155	972	585
"ENSG00000100146.16"	734	1055	92	470	564	30	1690	762	688	304	138
"ENSG00000100147.13"	46	61	20	64	24	67	63	48	59	28	57
"ENSG00000100150.16"	839	682	520	562	947	838	566	709	668	837	589
"ENSG00000100151.15"	1100	791	1272	1567	1699	941	524	1139	751	1470	1239
"ENSG00000100154.14"	3222	2224	730	1898	1710	447	2540	3121	1904	1661	1791
"ENSG00000100156.10"	62	60	72	124	88	96	58	70	47	82	127
"ENSG00000100162.14"	8	1	27	16	15	240	9	5	5	17	47
"ENSG00000100167.19"	21	35	20	22	8	40	37	11	14	9	7
"ENSG00000100170.9"	4	6	468	760	2	2195	2	4	2	1	521
"ENSG00000100181.22"	1044	374	1125	460	612	1120	1012	178	226	415	1232
"ENSG00000100191.5"	75	40	9	30	32	9	68	151	28	39	30
"ENSG00000100196.10"	181	254	99	429	132	71	656	286	218	145	183
"ENSG00000100197.20"	61	117	99	172	220	225	130	63	109	188	90
"ENSG00000100201.19"	54954	39455	20605	51035	44606	19556	38719	42829	34770	43012	44683
"ENSG00000100206.9"	54	40	9	20	85	38	34	45	33	65	16
"ENSG00000100207.18"	1588	1620	1114	1087	1125	2031	1245	1294	1383	1178	1109
"ENSG00000100209.9"	405	398	200	422	561	144	329	324	422	567	384
"ENSG00000100211.10"	1155	961	459	968	952	506	1119	976	808	834	839
"ENSG00000100216.5"	1224	1480	872	818	1164	864	870	1079	1420	1041	718
"ENSG00000100218.11"	97	93	8	51	75	8	45	78	74	37	80
"ENSG00000100219.16"	2868	5530	1529	9614	3631	1678	4890	2451	4241	3354	7645
"ENSG00000100220.11"	2278	2159	1548	1487	1734	1557	1656	2089	1903	1570	1392
"ENSG00000100221.10"	2681	3385	1221	1806	2019	1631	2222	1960	2691	1831	1623
"ENSG00000100225.17"	4359	3346	2192	3400	3905	1674	3098	3361	3171	3875	3042
"ENSG00000100226.15"	5858	4803	2309	3212	5263	4216	3226	4055	3856	4395	2764
"ENSG00000100227.17"	4522	3982	1628	2798	4354	1876	3581	2991	3590	3661	2573
"ENSG00000100228.12"	324	379	110	661	207	177	388	257	338	155	840
"ENSG00000100234.11"	95467	60924	14227	21670	53234	3759	48497	57415	83953	58346	24708
"ENSG00000100239.15"	3003	2813	1950	3192	3114	2076	2543	2741	2735	2782	2562
"ENSG00000100241.20"	4913	4280	2487	3727	5026	4531	3319	3740	4120	4278	3579
"ENSG00000100242.15"	19574	13528	5391	8394	15550	4951	5779	11810	9758	12201	5705
"ENSG00000100243.20"	17412	12483	6931	11126	12937	5299	13108	12921	11172	13841	7488
"ENSG00000100246.12"	452	548	406	583	553	378	576	468	511	480	574
"ENSG00000100249.4"	1	2	4	4	2	2	1	4	3	3	7
"ENSG00000100253.12"	2	0	0	4	0	3	0	0	5	0	8
"ENSG00000100258.17"	3982	3198	2172	3756	3806	2340	3707	3538	3524	3526	2838
"ENSG00000100263.13"	582	789	343	497	532	325	883	713	905	394	495
"ENSG00000100266.18"	4842	3549	1628	2629	3183	2130	2481	3635	2771	2787	2764
"ENSG00000100271.16"	269	202	120	173	158	122	221	311	188	136	211
"ENSG00000100276.9"	22	14	10	46	16	12	26	10	21	8	22
"ENSG00000100280.16"	2820	2857	2555	2326	1554	5375	2480	2517	2731	1278	1881
"ENSG00000100281.13"	1176	991	556	847	1220	732	814	946	861	1163	809
"ENSG00000100284.20"	2622	1369	3641	2221	3103	4999	2113	2438	1688	2611	2664
"ENSG00000100285.9"	52	54	92	36	4	104	164	32	82	9	17
"ENSG00000100288.19"	2306	1560	1675	3840	2101	1650	1803	2323	1566	1924	2506
"ENSG00000100290.2"	8	4	118	38	1	281	2	2	1	0	78
"ENSG00000100292.16"	311	420	1447	271	175	5166	522	627	356	226	315
"ENSG00000100294.12"	310	352	247	254	209	356	321	288	307	167	315
"ENSG00000100296.13"	2240	1231	652	1513	949	550	1350	1770	1157	882	1280
"ENSG00000100297.15"	1217	1029	652	849	769	1591	708	1090	826	693	846
"ENSG00000100298.15"	19	5	21	15	22	18	16	33	7	23	21
"ENSG00000100299.17"	1621	1186	1349	1500	1332	1505	2091	1011	1138	1255	1258
"ENSG00000100300.17"	2891	2166	6999	2243	1925	7613	2211	2031	2116	1796	1652
"ENSG00000100302.6"	284	253	54	150	173	79	259	98	151	89	319
"ENSG00000100304.12"	1468	1529	2937	935	1064	7077	1125	1303	1554	920	1295
"ENSG00000100307.12"	9842	5948	1704	5529	7823	855	4298	5656	4377	6813	4584
"ENSG00000100311.16"	681	541	325	429	193	245	599	346	299	109	472
"ENSG00000100312.10"	87	15	31	54	24	13	30	91	24	28	16
"ENSG00000100314.3"	166	160	92	145	138	128	153	175	163	142	108
"ENSG00000100316.15"	56930	53182	33112	42548	69362	31354	39035	40220	51261	60191	36268
"ENSG00000100319.12"	402	388	220	340	335	274	355	449	375	289	244
"ENSG00000100320.22"	11528	6776	3034	5502	6676	3083	8733	8330	5554	6573	4833
"ENSG00000100321.14"	2505	1639	1846	2895	3443	1671	3185	1342	2135	3486	2353
"ENSG00000100324.13"	2035	1283	740	1277	1736	705	1642	1601	1438	1427	1210
"ENSG00000100325.14"	1714	1612	1854	1377	1703	3074	1631	1539	1783	1647	1553
"ENSG00000100330.15"	3777	2487	2013	2715	4453	3625	2777	3204	2127	4577	2562
"ENSG00000100335.13"	1336	1372	666	763	646	777	1008	932	1044	627	864
"ENSG00000100336.17"	233	161	244	357	155	249	61	127	144	157	704
"ENSG00000100341.11"	1	2	0	0	0	1	0	0	1	1	0
"ENSG00000100342.20"	960	2348	706	1974	643	1987	1094	800	2071	529	1758
"ENSG00000100344.10"	83	99	67	136	50	200	47	71	81	47	135
"ENSG00000100345.20"	58599	42676	18362	28054	34201	22090	39168	51321	35020	28800	23105
"ENSG00000100346.17"	80	60	51	22	18	19	13	83	51	8	56
"ENSG00000100347.14"	1238	1152	775	1270	944	778	1029	1078	1108	817	1320
"ENSG00000100348.9"	1912	1767	1244	1398	1745	1554	1561	1678	1987	1453	1265
"ENSG00000100350.14"	919	845	308	625	711	573	906	1034	923	580	879
"ENSG00000100351.16"	165	62	64	68	66	66	44	69	39	58	89
"ENSG00000100353.17"	6652	5871	4393	5557	7495	4730	4811	5953	5426	6673	5055
"ENSG00000100354.20"	1934	1586	904	1505	1446	1209	1501	1575	1484	1376	1590
"ENSG00000100359.20"	3013	3008	2359	4326	4450	3241	3459	2786	3081	3891	3847
"ENSG00000100360.14"	1548	1031	439	1569	2092	631	1076	1347	1160	1668	2093
"ENSG00000100362.12"	1	4	0	0	0	0	0	0	3	0	2
"ENSG00000100364.18"	3879	2354	1966	3236	3215	1957	3571	2990	2391	3343	3335
"ENSG00000100365.14"	182	149	111	194	169	162	152	102	123	127	125
"ENSG00000100368.13"	317	317	139	108	98	168	267	235	302	71	116
"ENSG00000100372.14"	774	737	201	511	759	384	667	948	716	644	574
"ENSG00000100373.9"	3	0	2	3	3	1	1	3	0	1	1
"ENSG00000100376.11"	1099	1329	756	996	1521	728	883	953	1187	1424	883
"ENSG00000100379.17"	568	778	306	345	718	916	574	600	765	600	196
"ENSG00000100380.13"	8777	7421	2720	5603	10127	2551	5327	7542	6737	10526	5878
"ENSG00000100385.13"	67	25	75	126	12	193	96	95	29	13	69
"ENSG00000100387.8"	1311	1369	824	897	1114	1039	923	1111	1243	995	794
"ENSG00000100393.11"	5816	4355	2194	3626	2153	2695	3749	4330	3527	2253	3798
"ENSG00000100395.14"	1688	1676	811	1073	1407	658	1294	1489	1620	1320	1200
"ENSG00000100399.15"	272	162	146	209	149	96	376	289	140	118	147
"ENSG00000100401.19"	1817	2275	2670	1918	1980	5064	1291	1789	2406	1805	1306
"ENSG00000100403.11"	5721	4844	1805	3460	3386	1682	3921	4024	4527	2927	2917
"ENSG00000100410.7"	566	761	378	472	510	445	522	531	629	491	416
"ENSG00000100412.15"	3495	3561	2247	2593	2885	2328	2968	2693	3317	2586	2557
"ENSG00000100413.16"	2917	2763	1629	1992	2261	1421	2144	2027	2767	1957	1824
"ENSG00000100416.12"	1375	1422	1159	1559	2417	1162	1203	1354	1600	2198	1364
"ENSG00000100417.11"	1364	1183	778	1878	1564	1160	1128	1093	1236	1278	1229
"ENSG00000100418.7"	1124	1552	922	913	1171	1074	960	837	1594	959	809
"ENSG00000100422.13"	2694	2255	644	2298	2047	903	1778	2271	1687	1859	1923
"ENSG00000100425.18"	2539	2057	1425	1755	1538	1256	1802	2068	1831	1648	1774
"ENSG00000100426.6"	577	706	420	434	314	695	481	435	658	274	441
"ENSG00000100427.15"	225	140	91	12	68	37	13	595	647	521	3
"ENSG00000100429.17"	1348	1186	1198	2166	1482	1211	1751	1595	1437	1354	1748
"ENSG00000100433.15"	3	1	62	9	2	110	5	2	2	1	1
"ENSG00000100439.10"	2454	1721	1835	1813	2245	2398	1999	2577	1469	1994	1414
"ENSG00000100441.9"	7432	5956	3540	6180	7628	3904	5003	5001	5210	6739	5026
"ENSG00000100442.10"	1215	1268	947	956	1023	1043	1040	1171	1289	1012	831
"ENSG00000100445.17"	4171	3349	2022	3858	5290	1793	2710	2973	3058	4533	3011
"ENSG00000100448.3"	144	11	21	11	49	15	54	22	9	32	22
"ENSG00000100450.12"	9	15	24	17	4	48	13	16	8	3	18
"ENSG00000100453.12"	4	15	26	16	2	19	6	14	17	2	3
"ENSG00000100461.17"	3180	3828	1771	2621	2338	1612	2799	2725	3882	2463	2385
