	T1	T2	smtsd	lib_size
SRR1405525	11.294817	31.809708	Adipose - Subcutaneous	175335.28339502064
SRR1081567	16.321327	32.97817	Adipose - Subcutaneous	171284.8012678764
SRR1465001	6.7513714	24.207558	Adipose - Subcutaneous	185838.3961025169
SRR659804	7.202681	21.455532	Adipose - Subcutaneous	190036.3959509755
SRR1433392	15.261082	30.622143	Adipose - Subcutaneous	174684.4720823378
SRR1478228	7.421858	31.391804	Adipose - Subcutaneous	177035.14365582186
SRR1433555	19.854746	28.16126	Adipose - Subcutaneous	173593.64722255393
SRR810643	7.3501873	21.529436	Adipose - Subcutaneous	190817.1950990167
SRR1322936	11.061177	28.592987	Adipose - Subcutaneous	175141.21986033444
SRR659109	13.875899	23.502392	Adipose - Subcutaneous	177896.100562115
SRR1430549	6.817246	24.03376	Adipose - Subcutaneous	185236.1277769288
SRR818797	11.341867	22.082611	Adipose - Subcutaneous	189227.0523005698
SRR1317446	17.566889	28.76712	Adipose - Subcutaneous	172232.3918310578
SRR1363968	7.67247	28.188705	Adipose - Subcutaneous	181292.1198598864
SRR1347819	14.383146	24.715063	Adipose - Subcutaneous	178305.23254655226
SRR1099096	5.8746476	30.810444	Adipose - Subcutaneous	175944.44524489983
SRR665634	18.521055	38.695335	Adipose - Subcutaneous	164392.60405701495
SRR1354931	18.34186	34.782864	Adipose - Subcutaneous	168042.50618757983
SRR1070184	9.952951	35.737133	Adipose - Subcutaneous	170938.54875267897
SRR1435229	12.64081	33.02182	Adipose - Subcutaneous	171703.19908277548
SRR1413602	16.906254	35.08381	Adipose - Subcutaneous	167425.17549394915
SRR1498838	12.812221	22.642384	Adipose - Subcutaneous	181944.57309950306
SRR1073581	10.238882	32.192085	Adipose - Subcutaneous	174647.91566906444
SRR660847	15.898789	32.546146	Adipose - Subcutaneous	171325.1106373797
SRR1375329	12.622497	32.3563	Adipose - Subcutaneous	175673.52119538526
SRR1395554	18.235615	35.731457	Adipose - Subcutaneous	162982.79585426173
SRR1413501	14.688974	36.17424	Adipose - Subcutaneous	165679.9422322947
