run	sample	read_count_as_reported_by_sra	reads_downloaded	proportion_of_reads_reported_by_sra_downloaded	mapped_read_count	auc	avg_read_length	sampid	smrin	smts	smtsd	smntrart	smmaprt	smexncrt	smgnsdtc	smmncpb	smestlbs	smmppd	smnterrt	smrrnanm	smrdttl	smvqcfl	smtrscpt	smexpeff	smrrnart
SRR1320785	SRS625549	118676618	118676618	1	116089004	8748825633	152	GTEX-14E1K-0006-SM-5N9DY	8.7	Blood	Whole Blood	0.9672206	0.9135488	0.8873261	21453	90.368484	49285547	103103074	0.03259124	1981030	112859944	5816674	125550	0.8106158	0.017552994
SRR1392593	SRS636690	118367062	118367062	1	113877795	8592187111	152	GTEX-ZYFG-0126-SM-5GIDH	7.3	Blood Vessel	Artery - Coronary	0.97935116	0.9130254	0.8895813	25364	75.00161	82737752	98555359	0.020391665	795653	107943728	10423334	145180	0.8122103	0.007370998
SRR1410823	SRS638561	118206560	118206560	1	116243481	8781136552	152	GTEX-YF7O-0826-SM-4W21F	8.1	Esophagus	Esophagus - Muscularis	0.9666706	0.9330798	0.8977235	24420	76.13005	55389806	106564765	0.0331631	3449982	114207562	3998998	140888	0.8376477	0.030208
SRR613282	SRS374815	117600388	117600388	1	99247339	7252218596	152	GTEX-R55E-0526-SM-2TC6B	8	Muscle	Muscle - Skeletal	0.96287566	0.68872726	0.90102756	21394	45.375195	29686729	67272635	0.036958136	3809294	97676734	19923654	129438	0.62056226	0.03899899
SRR1359328	SRS629897	117211482	117211482	1	113859539	8587436572	152	GTEX-13O1R-0426-SM-5K7WG	7.5	Nerve	Nerve - Tibial	0.97357863	0.9128713	0.7950066	26575	76.1317	133417584	100556082	0.02618676	471567	110153624	7057858	147712	0.72573864	0.004280994
SRR1499543	SRS650126	117120916	117120916	1	113335169	8521063016	152	GTEX-ZLWG-0526-SM-4WWFB	7.9	Thyroid	Thyroid	0.97331405	0.9170358	0.8542871	26126	80.34422	102049515	94961418	0.026419362	1100970	103552570	13568346	147708	0.78341186	0.010631992
SRR1486995	SRS649602	117120850	117120850	1	114636956	8655469520	152	GTEX-Y111-1026-SM-4TT22	7.4	Lung	Lung	0.96465194	0.93755645	0.8253364	27588	67.727554	77766959	101440676	0.0350044	1970697	108196870	8923980	151878	0.7737995	0.018213993
SRR1487107	SRS649607	115726448	115726448	1	114274563	8630084190	152	GTEX-145MH-0011-R5a-SM-5P9JT	8.3	Brain	Brain - Caudate (basal ganglia)	0.94341046	0.9353408	0.85434896	26769	66.258316	60111234	104817224	0.056232456	8396554	112063132	3663316	149349	0.79910743	0.074926995
SRR815184	SRS408501	115367100	115367100	1	112357883	8481573124	152	GTEX-X4XX-1126-SM-3NMBY	6.8	Heart	Heart - Atrial Appendage	0.9789422	0.9356532	0.8549211	25719	58.104748	51058396	96583455	0.020846996	3027093	103225694	12141406	146640	0.79990965	0.029324995
SRR1443419	SRS644552	115222142	115222142	1	112509822	8484634655	152	GTEX-13OW8-0126-SM-5IJE5	6.7	Thyroid	Thyroid	0.97717464	0.9130976	0.8322156	26720	79.9535	104885578	98979744	0.02257469	594248	108399962	6822180	149480	0.7598941	0.0054819947
